"01/2016"	61066070477.19582
"01/2018"	11164572720.750216
"02/2017"	55580090162.62997
"02/2019"	3980845264.511426
"03/2016"	45853064127.7818
"03/2018"	2728079891.1623545
"04/2017"	111350074621.908
"04/2019"	4128024532.0090785
"05/2016"	47046609524.46979
"05/2018"	2498190913.653122
"06/2017"	56787722309.36528
"06/2019"	3036242776.7092156
"07/2016"	95778235105.82681
"07/2018"	2274934755.4395795
"08/2015"	480521184595.9846
"08/2017"	48273956518.85368
"09/2016"	32627612247.557236
"09/2018"	3733481101.982438
"10/2016"	32444426339.709282
"10/2018"	3070402143.0258875
"11/2015"	59484743862.50348
"11/2017"	29641103274.74033
"12/2016"	61466586775.37988
"12/2018"	5944894163.484711
"01/2017"	56202859565.34935
"01/2019"	4454813888.902501
"02/2016"	65547608759.907036
"02/2018"	6230362795.090821
"03/2017"	177021580942.2228
"03/2019"	3823274668.6779137
"04/2016"	22670632047.05411
"04/2018"	2449268234.85209
"05/2017"	124847773651.93129
"05/2019"	4005277417.4457994
"06/2016"	30490334850.065598
"06/2018"	2808523416.305628
"07/2017"	64981463792.7209
"08/2016"	59081987372.90177
"08/2018"	2398950798.1126165
"09/2015"	70464679457.674
"09/2017"	34388885218.27883
"10/2015"	74169318093.33842
"10/2017"	26736910424.747845
"11/2016"	39644316438.351944
"11/2018"	5397909048.901702
"12/2015"	26764096183.940594
"12/2017"	13737046580.115204
